FLOW_OUTcms,EVAPcms,TLOSScms,SED_OUTtons,SEDCONCmgL,ORGN_OUTkg,ORGP_OUTkg,NO3_OUTkg,NH4_OUTkg,NO2_OUTkg,MINP_OUTkg,CHLA_OUTkg,CBOD_OUTkg,DISOX_OUTkg,TOTNkg
9.50758548,5399.68388,38.302108468,3422.11968,494.775868716,32.884091804,459.047139928,158.744425396,52.281705008,45.63335484,2.061419712,19718.6744015,5354.79588863,1146.48715839,75.4826919
11.28240477,7339.83537,94.333909236,5045.97681,546.835911846,43.374407664,593.423001549,168.341057094,45.952694445,51.975609231,3.872166375,60617.8270883,8089.65267533,1323.26530461,92.15115945
11.46246608,4566.8116,33.5887838,3234.504,460.844890792,30.494595664,458.382663128,144.778247328,45.1405838,34.828060904,1.54178024,20251.7293519,4895.7067484,1113.33214127,63.689386072
21.776625,8818.875,76.4118225,6092.775,748.9208025,55.0973475,655.7148,236.1320325,65.0259675,63.8179425,4.4421975,41856.9503625,9515.4228,1674.745605,115.6501125
6.89584157,7430.97795,68.267771867,4903.65069,534.383215283,41.411078404,563.322437005,167.775586971,47.706878439,49.05505123,3.042064877,45349.5308921,7566.48984672,1283.9034416,87.028805609
8.75096516,5437.07812,54.09400476,3653.82052,445.867711972,32.154549356,489.86550662,149.265905604,46.259559704,48.85289922,2.215326056,36806.7262718,5552.93079359,1126.42345522,78.889272908
7.13601132,5389.99012,58.101236368,4027.18656,466.706478128,36.061686948,480.541541956,154.723101748,44.991111472,42.296569924,2.709507444,41650.155461,4849.51832778,1126.741267,75.820857232
7.21223856,5754.17696,74.085372784,4245.59984,612.9943544,46.990225552,449.223268176,196.011239168,49.951123872,54.973744256,3.46260928,51694.6280101,5929.89381862,1300.01277411,99.412706432
6.2557547,4133.32595,35.63649427,3121.21875,358.272465135,25.79042245,453.717004,115.225574815,31.6050449,32.762476045,1.77584862,21200.0746664,4184.57536308,949.568130615,55.971692205
8.96445935,7387.9113,97.62169648,4607.66306,678.813948659,54.102756169,647.540759019,204.748021401,58.480956688,60.296173399,4.437119687,67390.8435396,7640.49063847,1549.56007907,109.762957689
21.9351321,7364.56644,64.29649077,4953.33792,599.778999486,46.512296118,511.528790736,192.661437546,47.17626489,55.437868746,4.067123346,36875.9436611,7584.41384987,1344.54028702,99.918490896
7.0621278,7201.5853,86.424880815,5173.87325,658.849387105,56.417531625,552.286006545,214.24130546,53.48976087,61.79027127,4.71868397,62555.7668754,7214.20034654,1448.33921323,114.291836295
19.4880686,10549.24871,119.121289287,6545.10857,1059.3184592,85.39659128,1000.05029224,339.833378885,88.819222492,101.090126137,6.72056385,83560.1193497,11402.9094559,2457.55229019,181.645091628
16.4887107,7331.0622,69.80525706,5017.551,624.82302036,51.30038067,462.95385906,201.1840215,52.14990396,65.5445406,3.88921995,48093.1937086,7658.82296718,1324.3245015,113.40060732
5.34029064,3802.17015,30.503756061,2514.87345,293.369211357,22.233471963,247.226392923,103.282070328,29.1566067,33.318290949,1.350732558,18941.5331405,3808.10737472,659.081843034,53.179155654
16.64907837,9760.32435,88.957882328,5303.48641,889.579576973,68.341615237,1040.18552701,291.840983764,82.465068364,92.30478171,5.474574721,58334.7280102,9665.55901188,2241.68673034,154.756034921
21.9982147,8863.35835,98.19868795,6428.60449,754.37400643,68.235044801,742.099246713,229.88897129,56.187894906,72.543460748,5.16851258,65276.1116231,10120.6423603,1774.56729979,138.193639045
11.68648305,7647.38865,122.82084837,5358.93435,678.51188262,62.08296633,560.589259395,206.967642255,55.15229742,72.508055565,5.47802178,94089.5301862,7910.24643783,1482.62286298,131.30130024
7.774418,7383.412,70.6235545,4775.859,662.8739952,53.6983266,561.0651732,209.0295225,60.1247895,65.7057654,4.4424883,49862.6862134,7380.2999477,1472.0012457,115.47372
12.3892846,5872.8427,51.761808,3657.9029,494.81618196,37.97543386,419.20286148,166.04842243,45.83316388,55.45582777,2.46364981,34112.6774427,6001.64213405,1106.38177231,89.02123775
6.51144375,7486.5,95.469478125,5636.00625,721.208656875,64.4961975,476.54289375,215.711120625,58.24678125,67.0536825,4.318321875,74598.0757856,7311.81791813,1442.89971,127.3997025
9.40681602,6310.3446,59.598793818,4155.18372,574.762538556,47.025484614,342.84668256,190.91727459,49.69553607,63.508691718,2.942591256,42104.5734912,6043.66524428,1137.79538341,105.90372513
8.00355825,6481.7403,56.145116835,3986.208,591.320530785,47.91961815,536.005251105,192.22076298,50.36449239,61.17874251,3.30564603,38648.8014005,6200.84530199,1345.26817484,104.21401017
17.2057217,7619.8512,74.30942389,4994.4217,645.751128272,54.11193369,561.746176408,213.753677754,55.89478349,70.990881002,3.349803816,44930.5918096,7723.76716497,1445.84747135,120.053442142
12.8639904,7336.25152,77.249262144,4750.12288,682.516229312,57.957720064,568.447960448,214.166777376,59.72757408,75.23656976,4.011609856,54494.751178,7689.40715946,1485.19812563,127.564794336
19.77809978,8278.93498,72.208031642,5116.66466,833.882569054,65.289985722,787.555772542,250.967880732,77.767275044,85.488407796,5.361485588,39797.8227465,8517.95717594,1899.39935251,143.736777944
6.95934652,2368.79916,12.944000916,1657.52006,155.52397238,11.117052576,109.21171107,48.356349573,15.607781105,14.25994717,0.513159899,6272.91415718,2527.47761523,319.181860823,24.039795038
13.99414847,9370.07458,102.896769873,6105.48451,764.296012081,70.679746692,796.780969405,253.059683034,62.257957799,99.810802565,6.158522668,65165.3398375,10070.4163277,1820.79630634,163.968989542
7.67262238,4923.92048,38.062307114,3565.09376,499.257958334,37.220528572,523.588262142,161.358663982,46.918606372,51.48291263,2.253387644,21405.8099108,4982.84826542,1214.08263488,85.691375306
6.08862027,2804.36676,15.58397943,1897.60932,247.43417865,17.778204465,273.736268679,77.639826102,25.011331782,23.971394343,1.107395805,8979.23117983,2856.6959878,606.652171368,39.380055147
9.35908128,3721.9368,25.400691232,2496.25376,267.69391408,22.231371648,228.659338176,86.440704128,24.168150352,29.241081632,1.421567888,16308.1331704,3903.45422382,589.006286608,49.200139168
9.45660537,5365.70267,38.54614876,3425.49446,495.225329704,32.911057601,466.280580505,159.421799231,52.552652718,45.949664165,2.067688207,19922.0753842,5345.71920443,1156.88233075,75.93462298
11.20304136,7311.67416,94.674915888,5030.61615,549.018661632,43.558735584,603.586382238,169.227879198,46.205121291,52.36448994,3.909799992,61068.0101433,8055.54791395,1336.90710676,92.696718891
11.42550032,4594.53592,33.5887838,3217.56136,461.665530664,30.552046616,465.769192096,145.475976048,45.304773384,35.111157016,1.554410208,20350.2179964,4875.18828722,1124.0016918,64.058735624
21.683025,8851.05,76.52853,6051.825,749.54412,55.198845,666.0017325,236.7556425,65.1195675,64.23885,4.4609175,42075.1582875,9453.0778875,1684.097415,116.195625
6.60440574,7396.51056,68.415868254,4885.08792,535.72247796,41.58020469,572.496010458,168.339758838,47.855052438,49.407736836,3.068810112,45582.2825029,7531.16996891,1295.19178462,87.522549168
8.69709592,5399.92692,53.89617462,3657.53564,447.253451732,32.278262852,497.388253108,149.81035644,46.600979232,49.27363656,2.225171124,36811.675369,5543.03259938,1134.34204774,79.433723744
6.8706765,5392.2339,57.925698525,4002.22575,466.94614077,36.12796713,487.6683732,155.024457075,45.22038912,42.562140255,2.72106,41631.8472556,4828.35181077,1134.59018423,76.06224369
7.21220715,5738.07885,74.268742135,4236.39675,614.21507347,47.167283685,456.13433057,196.683387085,50.189476315,55.401736815,3.476141485,51920.7571123,5914.57379744,1309.79537026,100.085275045
6.18417475,4164.9543,35.587720025,3094.58435,359.115110965,25.892465495,460.81340695,115.713317265,31.70692148,32.993196535,1.79182926,21266.6020707,4167.27831786,956.22090434,56.28214943
8.87926416,7399.3868,97.375930288,4584.62784,680.037479264,54.317252912,659.18870004,205.666819176,58.689220304,60.866228072,4.461036216,67329.2306429,7622.06139167,1565.49666582,110.559727304
21.90241188,7316.74458,64.578136356,4945.7871,600.181206498,46.673380278,519.374847798,193.130846856,47.25680697,55.907278056,4.093299522,36996.6503145,7537.47241549,1356.61102787,100.589003712
6.90314625,7179.2721,86.35041051,5157.13835,660.632769615,56.70007252,561.27794723,215.132996715,53.72739645,62.38491805,4.74769113,62622.6476244,7180.01680305,1460.22908077,115.109057245
16.8091888,10536.68256,118.786918496,6529.42208,1061.81938099,85.730309312,1016.74224362,341.167943296,89.236270592,102.00812096,6.7675392,83559.8526512,11361.1348899,2479.24850861,182.980160928
16.06344832,7313.70112,69.409470592,5000.20864,626.003382272,51.543426048,469.403669504,201.906843008,52.37984256,66.182692352,3.90772608,47915.0000552,7612.66366874,1332.87469645,114.25587968
5.25270138,3808.8057,30.457838055,2500.27524,294.147163239,22.350124932,251.186621874,103.671046269,29.276842866,33.65418249,1.359226062,18952.140598,3793.96396532,664.739312964,53.638866558
16.16420254,9717.61508,89.024961005,5308.51103,892.25694574,68.676254929,1052.2340633,293.313448655,82.933614179,93.308700786,5.38890495,58394.9704405,9645.47836928,2273.14662985,156.228751043
21.97990828,8860.30728,98.036065919,6404.19593,757.056507174,68.690264445,755.105653016,231.189642431,56.504901079,73.275107334,5.211532667,65308.6277914,10055.6103288,1792.4511466,139.331688155
11.28308128,7586.9941,122.601159958,5358.91482,679.898666686,62.433690002,570.23737898,207.551895994,55.371611624,73.180605406,5.515868188,93796.7576448,7880.97461811,1495.04586158,132.324311348
7.652546,7365.639,70.8264206,4765.703,664.0241622,53.9755854,570.129911,209.8412408,60.3411123,66.3887564,4.4747336,50112.9805795,7360.0057207,1483.5011384,116.3529757
12.3875729,5874.5544,51.67074556,3647.6327,496.64051182,38.22619791,425.99796814,166.96058736,46.10686471,56.09429187,2.47631639,34167.403744,5983.40003364,1116.87089874,89.93340268
6.22768125,7540.8375,95.22828,5581.66875,722.093150625,64.801695,482.09256375,216.756815625,58.455980625,67.69728,4.344886875,74541.7754944,7274.82042,1447.72548375,127.962699375
9.44874522,6224.38974,59.207804028,4174.05186,576.438239034,47.321504766,347.371052886,191.587512852,49.913358264,64.17892998,2.95705683,42110.1590896,6021.32264113,1145.05668227,106.909187346
7.91424568,6498.3182,56.144846406,3965.4274,593.530432638,48.25676009,544.79782126,193.270779196,50.618784568,61.842189794,3.328260034,38764.7769383,6184.22105554,1357.98407351,105.153792018
16.577993,7607.60875,74.43929155,4979.74775,647.8957104,54.5022279,571.439364575,214.598797925,56.037670475,71.771621875,3.368106975,45093.0812262,7697.70774855,1459.5061842,121.159289825
12.868376,7327.3315,77.24891445,4738.99275,684.289002125,58.34804285,577.916499975,215.0538469,60.082563075,76.064943875,4.037141925,54559.6198388,7659.77528513,1497.6221321,128.74819075
19.79656143,8246.44209,72.269620662,5121.27933,835.114431594,65.598510987,801.141501288,252.016787991,78.07574649,86.414691543,5.407829862,39964.4267396,8487.03580533,1917.92189113,145.033285971
6.95854733,2356.01212,12.918426836,1654.3233,155.779473423,11.153255883,110.680941966,48.590592162,15.671636386,14.394051252,0.514438603,6266.52623151,2514.70184381,321.949935307,24.252699254
13.65884977,9342.64105,102.978156012,6084.14732,766.245011979,71.215614978,810.505964464,254.115569122,62.485351281,101.029156114,6.203940401,65360.2511055,10029.8098262,1837.8511223,165.593359335
7.40962366,4964.10084,37.930990392,3534.0453,499.744688604,37.37138756,530.887389812,161.89397596,47.09868744,51.969460262,2.265076476,21362.0153274,4963.38398585,1222.35504045,86.226687284
5.81805555,2802.53862,15.566886321,1893.03897,248.408303049,17.890269447,277.87636593,78.102528336,25.133085906,24.222215151,1.116902133,8996.27876814,2846.95446959,612.740608824,39.745317519
9.27803408,3736.89936,25.490341904,2478.79744,269.022714096,22.444089376,232.047859264,86.839456352,24.188100432,29.53671688,1.437153888,16407.7959148,3886.84378722,594.32161136,49.731684112
9.13748101,5406.44195,38.808407875,3400.03241,496.12974172,33.005946174,472.612313352,160.10027799,52.688280571,46.26624232,2.080928473,20148.2057175,5332.15132672,1164.57085137,76.205878686
11.0903532,7324.4461,94.94719673,4997.3152,551.06280505,43.7290681,613.13319758,170.11403682,46.42331734,52.73268379,3.94716218,61497.4902799,8021.41182016,1350.54388956,93.24217013
11.41625888,4620.72,33.53949612,3200.61872,460.844890792,30.506917584,472.335235216,145.55807084,45.263803,35.345119472,1.565499936,20432.2918411,4862.87730292,1128.51582719,64.1818008
21.67425,8804.25,76.50513,6048.9,750.0896325,55.245645,676.8341775,237.067155,65.6103825,64.6831575,4.4755425,42285.5728425,9398.52576,1696.5663975,116.6633325
6.45602729,7369.99094,68.514424042,4869.17446,536.567395389,41.700055136,581.175444434,169.186063046,48.031306519,49.760684695,3.092905975,45786.7993558,7495.85035753,1305.7743035,88.016288997
8.68780812,5390.63912,53.846577768,3651.96296,448.787610536,32.411821416,503.822097924,150.453815224,46.828716088,49.689358488,2.235944972,36816.6244661,5528.1851223,1143.74538798,79.977988824
6.72328575,5369.5584,57.76266168,3986.3529,467.48989926,36.224791515,493.22659176,155.50767198,45.40179312,42.88254507,2.74464252,41692.2620437,4799.35279408,1142.4440704,76.36428135
7.18006105,5722.0058,74.390897315,4227.21215,615.438691805,47.338576475,462.68019499,197.29531106,50.415876705,55.805399985,3.487622235,52116.5229579,5899.89129588,1318.36023938,100.635891815
6.06431995,4128.332,35.58322547,3096.249,360.22393433,25.999003095,467.909643435,116.245672335,31.875550525,33.272524805,1.80547939,21324.259221,4153.52930766,966.8653423,56.725778655
8.92069152,7392.48224,97.19203884,4577.72328,681.263959272,54.452121984,670.226329656,205.97338164,59.038821192,61.319857664,4.4764564,67267.9107852,7628.19333141,1578.37367022,111.172852232
21.78906301,7304.13086,64.624946373,4925.63201,600.916534114,46.820686939,527.352710846,193.599486977,47.538263682,56.363123648,4.11014669,37083.6802148,7503.91293383,1366.664297,101.192163878
6.69396,7196.007,86.201748815,5129.24685,661.970445955,56.9377081,569.30344744,215.72736458,53.920684545,62.89756382,4.77223565,62659.803565,7153.26467083,1469.88958071,115.777895415
16.42062951,10520.98338,118.536203874,6516.8688,1064.3202868,86.147365938,1031.76476741,342.252163692,89.486321265,102.926109921,6.810754518,83476.1098763,11336.0556803,2500.10961466,184.315221702
15.88789476,7298.84151,69.014216907,4982.88672,627.120268911,51.767150814,475.394334291,202.564479015,52.636437153,66.775131054,3.924270459,47743.5879334,7573.12075256,1341.43018007,115.111356741
5.25270138,3798.18882,30.408336852,2493.63969,294.889681284,22.459744218,254.757742173,104.024588373,29.393495835,33.976006665,1.366657878,18955.6765499,3779.82055591,669.689433264,54.063143625
15.05124921,9747.7628,89.091788451,5285.90024,894.934314507,69.077973298,1068.29852714,295.187883146,82.73288061,94.112137524,5.443924539,58542.2297424,9612.01038038,2291.88871369,157.366576242
21.96152988,8854.17612,97.954586406,6379.76646,760.143224142,69.169665942,768.2721633,232.408088274,56.846129496,73.973865018,5.25697638,65365.316619,9998.67418679,1810.32905996,140.550435066
10.92636908,7559.5547,122.235392756,5342.45118,681.141397112,62.740736888,578.937315144,208.209892806,55.598261068,73.76533902,5.550441832,93431.2209338,7851.73162635,1506.01174339,133.274812164
7.57126818,7342.75908,71.029260846,4755.52827,665.036127306,54.239173875,578.448189639,210.922785765,60.631842897,67.085447679,4.505183856,50363.0765869,7332.91795476,1494.31875601,117.299560707
12.2660422,5898.5182,51.67074556,3627.0923,498.46467051,38.43143074,432.61077875,167.50781785,46.42609676,56.73292714,2.48692893,34222.129874,5969.71858671,1126.90402829,90.754334
6.12200472,7507.60638,95.067065702,5563.53782,723.297348976,65.139277342,488.766608392,217.64058841,58.616685824,68.324349916,4.37868237,74541.5285651,7237.79894565,1456.56770929,128.847068176
9.13842555,6178.23815,58.98404004,4176.1284,577.55268766,47.600526185,351.61449755,192.36857484,50.06951535,64.84906856,2.96983107,42109.9582264,5993.36585143,1152.87118855,107.80239403
7.889332,6458.87154,56.034188144,3969.57968,595.742975036,48.549911058,552.54182346,194.26649594,50.845499056,62.505931752,3.350474732,38858.8123778,6162.09500872,1368.49390942,106.0388505
15.98941075,7597.83975,74.504499625,4965.09425,649.782836975,54.85342345,580.223649375,215.57496525,56.233050475,72.422237275,3.386179625,45249.2477276,7665.17307095,1471.86934215,122.200176775
12.55955275,7314.001,77.130495175,4730.10575,685.4729727,58.6737514,586.61798385,215.705041825,60.31917945,76.77523735,4.061359,54595.1365121,7636.09742885,1510.05304553,129.8728406
19.80574948,8213.94948,72.269308936,5123.5756,836.346283476,65.845365212,814.1095017,253.004017816,78.50778386,87.279067084,5.44119092,40081.6146098,8462.29197136,1935.82642695,146.267882596
6.96973599,2355.21293,12.892932675,1648.72897,156.205361774,11.206481937,112.277883424,48.867431578,15.73125596,14.523919627,0.518034958,6283.56064669,2499.79671055,324.292201359,24.444345016
13.35703712,9363.94752,102.977818176,6047.54944,768.191491696,71.743322656,823.497611552,255.089232208,62.696383776,102.08440248,6.25025208,65563.0685222,9997.29176627,1852.46315386,167.135794672
7.06261146,5006.10758,37.843324152,3504.82322,500.717783868,37.502704282,538.186517482,162.477869646,47.317670402,52.456190532,2.275304204,21323.0867683,4943.91970628,1231.60054129,86.81058097
5.20471458,2800.71048,15.54741663,1888.46862,249.1389192,17.987709309,281.772954933,78.492196377,25.25484003,24.451189686,1.125585798,9013.32644786,2839.64839949,618.098430129,40.086265629
9.20564121,3750.58496,25.437020809,2462.56825,269.817929894,22.5932844,235.434492148,87.303842408,24.300872865,29.845454381,1.445745765,16487.3938052,3870.20218658,599.299960845,50.196367773
9.15445571,5397.9546,38.984775008,3394.94,497.486529491,33.078258396,479.39608246,160.642959149,52.688280571,46.492345324,2.089925064,20347.2002953,5323.10618807,1173.163784,76.56777929
10.7933816,7301.4052,95.22010339,4984.5147,551.60836236,43.76977369,621.45480263,170.18213548,46.74384186,52.98485364,3.97250717,61858.9994408,8014.59094573,1360.09306256,93.51482078
11.42241984,4597.6164,33.55181804,3203.6992,461.255210728,30.523244128,478.490650352,145.886295984,45.345743768,35.542116168,1.572122968,20514.3656858,4850.5661646,1138.36473785,64.592120736
21.645,8792.55,76.6300275,6025.5,749.15451,55.222245,686.10789,236.59974,65.930085,64.987065,4.4825625,42464.8150875,9375.146235,1705.138695,116.9751375
6.16461859,7343.49924,68.620125925,4853.27944,537.837937321,41.855296498,589.362969236,169.750601173,48.144161161,50.099513538,3.118338007,45977.3716385,7460.55917446,1315.6557076,88.510359202
8.67294764,5383.20888,53.74756982,3646.39028,449.77750426,32.491139228,510.25594274,151.047677156,47.04642212,50.085204524,2.248947892,36826.522846,5518.28692808,1151.6639805,80.423431712
6.7663692,5349.15045,57.65381928,3975.01515,468.214834995,36.34565193,499.14716481,155.930570055,45.528549165,43.136283915,2.765730735,41746.6353984,4775.79090879,1149.69388127,76.726862595
7.17546875,5705.93275,74.51328211,4218.02755,616.66231014,47.491500065,468.797827435,197.90700542,50.666616285,56.19092357,3.498643755,52312.2888034,5886.43241266,1326.92487888,101.186508585
5.99274,4138.3199,35.534451225,3079.6025,360.800402625,26.05210543,475.892971905,116.689135095,32.083964705,33.534207785,1.81180506,21319.824094,4142.8848697,976.622688275,57.08051557
8.92299304,7378.67312,97.008147392,4568.5172,682.490209128,54.654425592,680.650604192,206.525286136,59.253322856,61.810541728,4.507066616,67267.9107852,7609.79728205,1590.02465492,111.908878328
21.38887114,7331.81709,64.76564276,4892.91192,601.989501373,47.008449917,534.796279628,194.33719916,47.779637269,56.799055924,4.13279906,37244.6220317,7463.67754254,1374.71142559,101.594620985
6.6660446,7215.50518,86.12724863,5098.54792,663.15708296,57.16063516,577.55000894,216.246765738,54.113778624,63.38041736,4.79313709,62689.3033322,7131.68845495,1480.28808179,116.520786124
16.1605298,10505.2843,118.45217177,6501.1825,1066.82117662,86.5644199,1044.28290846,343.41971762,89.65302988,103.67709879,6.85083646,83459.1484075,11302.6291122,2517.63132952,185.56693349
15.60846975,7288.89585,68.684434685,4965.54485,628.43233673,51.96446393,482.041697695,203.221287485,52.965235015,67.3672924,3.93931577,47598.325595,7526.96270635,1350.6388273,115.83486591
5.2526618,3787.5434,30.36564052,2488.3125,295.55923726,22.56561027,258.18557977,104.37747668,29.49930964,34.27620609,1.37407934,18959.0695082,3765.64877149,674.63460275,54.45157655
14.80755514,9705.05353,89.024961005,5290.92486,895.603845122,69.345785544,1085.7020522,295.522522838,83.536066117,94.982150477,5.468042715,58656.0208041,9598.62303408,2310.63079752,158.370495318
21.9066108,8893.8399,97.873123104,6337.05162,762.5819364,69.576067134,779.6526171,233.546133654,57.11431767,74.632283766,5.2935891,65381.5748025,9949.90024674,1825.77413589,141.525858948
10.69313418,7534.85924,121.869899948,5328.73148,682.311138734,63.025832254,587.198495302,208.867889618,55.839453394,74.350072634,5.576509262,93065.6839484,7822.48863459,1516.24691399,134.152049782
7.48494252,7352.91504,71.164589013,4732.67736,665.509648941,54.401669235,587.039370102,211.260979233,60.997203558,67.782146535,4.522195089,50552.4877799,7326.1533237,1505.81885732,118.246603977
12.39092391,5898.48374,51.579210615,3618.51266,499.829912224,38.609050809,438.67362489,168.373296723,46.745055717,57.325353945,2.498211555,34267.5348424,5946.88126124,1135.56236187,91.39226417
